x1,x2,x3,x4,x5,x6
0.0029963379755275892,0.003316479073740916,0.0059926759510551784,0.006632958147481832,0.008989013926582768,0.009949437221222747
0.00294451295002183,0.0032937996876554647,0.00588902590004366,0.0065875993753109294,0.00883353885006549,0.009881399062966393
0.002919664240446315,0.002481471734499092,0.00583932848089263,0.004962943468998184,0.008758992721338944,0.007444415203497275
0.0028626588807272274,0.0024014502959905587,0.005725317761454455,0.0048029005919811175,0.008587976642181683,0.007204350887971677
0.0024069776330852516,0.0021717813147032706,0.004813955266170503,0.004343562629406541,0.007220932899255755,0.006515343944109813
0.0018329802198847357,0.0017230239815862703,0.0036659604397694715,0.0034460479631725407,0.005498940659654206,0.00516907194475881
0.0017334775989729166,0.0015222545539663036,0.003466955197945833,0.0030445091079326072,0.0052004327969187485,0.00456676366189891
0.0011987395046536237,0.0009789701471831066,0.0023974790093072474,0.0019579402943662133,0.0035962185139608704,0.0029369104415493197
0.0011750719029769963,0.000638179598078369,0.0023501438059539926,0.001276359196156738,0.0035252157089309885,0.0019145387942351064
0.0007683099295843622,0.00034002793865193484,0.0015366198591687244,0.0006800558773038697,0.002304929788753086,0.0010200838159558046
